0901a-16-1440  262.44570833333324 -32.55116666666667  20.422 0.06 19.713 0.02 16.685 0.01 16.764 0.01 16.478 0.01 1.958 0.343 -1.358 0.27   -27.54  3.11  1.91 0.45 0.69 0.12 -8.71 0.56 -8.88 0.9
0901a-16-1621  262.4573333333333  -32.54097222222222  21.31  0.17 21.193 0.05 18.347 0.02 17.754 0.02 17.536 0.02 2.416 0.559 -1.202 0.421 -108.84  7.31  1.78 0.19 0.39 0.06 -8.48 0.55 -8.87 0.9
0901b-22-3142  262.5632916666666  -32.74836111111111  22.0   0.33 22.102 0.11 19.088 0.05 18.652 0.05 18.287 0.02 1.936 1.386 -1.538 1.074  -77.26  5.22  4.33 0.6  0.38 0.05 -9.09 0.55 -9.23 0.9
0901a-25-2566  262.630375         -32.7041388888889   21.074 0.15 21.074 0.06 18.583 0.02 18.157 0.03 17.856 0.02 1.848 0.471 -1.668 0.346  -79.45  5.66  3.27 0.39 0.42 0.06 -8.85 0.55 -8.86 0.9
0901a-29-3772  262.66262500000005 -32.44811111111111  20.916 0.09 21.533 0.07 18.979 0.03 18.589 0.05 18.173 0.03 2.505 0.984 -1.239 0.65   -68.45  4.61  3.82 0.62 0.39 0.05 -9.08 0.55 -8.74 0.9
0901a-30-1798  262.732625         -32.58761111111111   ---   ---  21.891 0.1  19.281 0.04 18.987 0.06 18.35  0.03 2.788 1.006 -0.346 0.686  -46.21  2.88  3.34 0.59 0.34 0.05 -9.33 0.55 ---   0.9
0875a-21-8010  262.7787083333333  -32.050888888888885 21.055 0.17 21.859 0.1  19.204 0.04 18.859 0.04 18.169 0.02 1.989 1.016 -1.109 0.809  -53.36  3.12  2.11 0.22 0.31 0.05 -9.14 0.55 -8.64 0.9
0875a-18-616   262.9023333333333  -32.432916666666664 21.294 0.17 20.755 0.04 18.175 0.01 18.02  0.03 17.737 0.02 2.114 0.522 -1.706 0.367  -48.11  4.31  7.88 1.34 0.59 0.09 -9.15 0.56 -9.23 0.9
0875a-23-10402 263.00104166666665 -32.00794444444445  20.119 0.16 21.178 0.06 18.498 0.02 17.796 0.02 17.644 0.02 2.751 0.61  -0.282 0.496 -131.94  8.61  1.84 0.23 0.37 0.06 -8.44 0.55 -8.29 0.9
0875a-23-9789  263.0325833333333  -32.01877777777777  20.18  0.08 20.697 0.04 18.513 0.02 18.069 0.03 17.75  0.02 2.499 0.625 -0.85  0.451  -80.92  5.61  2.6  0.34 0.41 0.06 -8.76 0.55 -8.46 0.9
0876b-5-3303   263.0545000000001  -31.926666666666666 18.833 0.03 18.883 0.01 16.309 0.01 16.247 0.01 16.012 0.01 1.618 0.195 -0.974 0.157  -41.1   4.21  0.68 0.07 0.47 0.06 -8.01 0.55 -7.78 0.9
0875a-27-3151  263.05575          -31.885111111111115  ---   ---  21.023 0.05 17.751 0.02 17.404 0.02 16.852 0.01 1.853 0.304 -0.24  0.246  -56.31  3.57  0.6  0.06 0.29 0.04 -8.23 0.55 ---   0.9
0876b-5-3103   263.05775000000006 -31.93144444444444   ---   ---  21.736 0.08 18.42  0.03 17.706 0.03 17.498 0.01 1.884 0.415 -0.392 0.33  -129.84  8.11  1.3  0.12 0.34 0.05 -8.33 0.55 ---   0.9
0876b-5-2256   263.06033333333335 -31.950555555555557 17.634 0.01 18.4   0.01 15.92  0.01 15.633 0.01 15.645 0.01 1.827 0.137 -0.774 0.109  -80.01  8.39  0.43 0.02 0.42 0.05 -7.41 0.55 -7.14 0.9
0876b-5-3072   263.062625         -31.93213888888889   ---   ---  20.529 0.03 17.345 0.01 17.211 0.01 16.855 0.01 1.882 0.272 -0.575 0.228  -42.45  3.63  1.54 0.17 0.48 0.05 -8.56 0.55 ---   0.9
0876b-5-2496   263.06345833333336 -31.945861111111117  ---   ---  22.193 0.12 19.435 0.04 18.991 0.05 18.34  0.03 2.013 0.363 -0.645 0.295  -69.86  3.94  2.23 0.33 0.29 0.04 -9.09 0.55 ---   0.9
0876b-5-3262   263.1115833333334  -31.92775           20.336 0.07 20.473 0.03 17.784 0.02 17.518 0.02 17.129 0.01 1.137 0.488 -0.493 0.382  -55.1   4.13  1.45 0.15 0.43 0.05 -8.57 0.55 -8.46 0.9
0876b-5-3588   263.1247916666666  -31.920222222222225 20.172 0.07 20.586 0.04 17.828 0.02 17.068 0.01 17.336 0.02 2.676 0.463 -0.864 0.356 -176.52 15.08  3.16 0.34 0.51 0.06 -8.23 0.55 -8.51 0.9
0876a-9-7318   263.23650000000004 -31.757083333333334 19.375 0.04 19.223 0.02 16.678 0.01 16.57  0.01 16.427 0.01 2.083 0.258 -0.737 0.191  -51.25  5.51  1.91 0.04 0.64 0.1  -8.34 0.56 -8.27 0.9
0876b-3-5292   263.32725000000005 -32.025              ---   ---  20.919 0.04 18.135 0.03 17.843 0.02 17.303 0.02 1.985 0.502 -1.568 0.392  -50.61  3.35  1.23 0.11 0.37 0.05 -8.67 0.55 ---   0.9
0902a-14-4407  263.3532083333333  -32.4268888888889   18.339 0.02 18.823 0.01 16.836 0.01 16.743 0.01 16.941 0.01 2.251 0.421 -1.683 0.315  -74.2  12.95 15.84 1.39 0.81 0.06 -8.65 0.55 -8.29 0.9
0902a-14-3096  263.3564583333333  -32.4855             ---   ---  21.754 0.07 18.671 0.04 18.391 0.03 17.75  0.02 2.646 0.587 -1.068 0.46   -44.75  2.8   1.75 0.17 0.35 0.06 -9.0  0.55 ---   0.9
0876a-2-2509   263.357875         -32.338972222222225 18.937 0.03 19.367 0.02 17.3   0.01 16.974 0.02 16.985 0.01 1.809 0.277 -1.465 0.24   -83.93  8.44  3.81 0.11 0.62 0.1  -8.44 0.56 -8.17 0.9
0902a-14-1475  263.35858333333334 -32.55630555555555  20.853 0.11 20.649 0.04 17.763 0.02 17.44  0.02 17.36  0.01 2.617 0.397 -1.476 0.305  -78.45  7.26  4.8  0.58 0.58 0.08 -8.67 0.56 -8.93 0.9
0876b-3-2115   263.3621666666666  -32.14633333333333   ---   ---  20.797 0.05 17.946 0.02 17.66  0.02 17.113 0.01 0.851 0.473 -1.327 0.365  -49.61  3.28  1.0  0.08 0.35 0.05 -8.54 0.55 ---   0.9
0876a-2-4228   263.4089166666667  -32.25911111111111  18.359 0.02 17.526 0.01 15.34  0.01 15.148 0.01 15.259 0.01 2.216 0.124 -1.534 0.102  -78.55 10.34  0.46 0.02 0.52 0.08 -7.27 0.56 -7.79 0.9
0876a-2-5053   263.45579166666664 -32.207388888888886 20.12  0.08 20.785 0.04 19.13  0.02 18.518 0.04 18.45  0.03 0.67  1.011 -1.809 0.787 -122.08  8.98  8.64 2.41 0.43 0.05 -9.03 0.55 -8.56 0.9
0902a-15-2681  263.46262499999995 -32.47058333333333  20.676 0.1  20.303 0.02 17.487 0.01 17.345 0.02 17.165 0.01 0.283 0.414 -2.08  0.326  -51.75  5.17  4.95 0.47 0.63 0.1  -8.79 0.56 -8.94 0.9
0902a-15-2191  263.4678333333333  -32.50275           21.355 0.16 21.331 0.05 18.643 0.03 18.252 0.03 17.988 0.02 0.732 0.657 -1.994 0.517  -77.19  5.79  4.75 0.66 0.45 0.06 -8.96 0.55 -9.04 0.9
0876b-4-3531   263.47704166666665 -32.06022222222222   ---   ---  19.307 0.02 16.866 0.01 16.679 0.02 16.559 0.02 2.366 0.207 -1.333 0.158  -59.8   6.07  2.06 0.44 0.6  0.07 -8.31 0.55 ---   0.9
0902a-15-2106  263.52529166666665 -32.50636111111111  20.416 0.09 19.626 0.02 16.799 0.01 16.806 0.01 16.625 0.01 2.119 0.275 -1.777 0.211  -39.56  4.64  1.76 0.25 0.72 0.12 -8.66 0.56 -8.98 0.9
0902a-16-2067  263.5530416666666  -32.43955555555556  20.266 0.08 20.54  0.04 17.542 0.02 16.697 0.01 17.282 0.01 2.045 0.362 -1.707 0.294 -229.72 24.46  8.13 1.12 0.7  0.11 -8.22 0.56 -8.78 0.9
